org,repo,workflow,ref,url,name,type
openai,frontier-evals,.github/workflows/paperbench_lint.yml,main,https://github.com/openai/frontier-evals/blob/8c9567576d70548cb8fb141276cd083e59a8755b/.github/workflows/paperbench_lint.yml,OPENAI_API_KEY,secret
openai,frontier-evals,.github/workflows/paperbench_tests.yml,main,https://github.com/openai/frontier-evals/blob/8c9567576d70548cb8fb141276cd083e59a8755b/.github/workflows/paperbench_tests.yml,OPENAI_API_KEY,secret
openai,frontier-evals,.github/workflows/preparedness_turncompleter_lint.yml,main,https://github.com/openai/frontier-evals/blob/8c9567576d70548cb8fb141276cd083e59a8755b/.github/workflows/preparedness_turncompleter_lint.yml,OPENAI_API_KEY,secret
openai,frontier-evals,.github/workflows/preparedness_turncompleter_tests.yml,main,https://github.com/openai/frontier-evals/blob/8c9567576d70548cb8fb141276cd083e59a8755b/.github/workflows/preparedness_turncompleter_tests.yml,OPENAI_API_KEY,secret
openai,frontier-evals,.github/workflows/swelancer_lint.yml,main,https://github.com/openai/frontier-evals/blob/8c9567576d70548cb8fb141276cd083e59a8755b/.github/workflows/swelancer_lint.yml,OPENAI_API_KEY,secret
openai,openai-agents-python,.github/workflows/update-docs.yml,main,https://github.com/openai/openai-agents-python/blob/73e7843075acaae25bc56628ab8017ae6a4e13f7/.github/workflows/update-docs.yml,PROD_OPENAI_API_KEY,secret
openai,pytorch,.github/workflows/push_nightly_docker_ghcr.yml,master,https://github.com/openai/pytorch/blob/8595b6eeed9a0e96aa6b1779000aeb96c13e6202/.github/workflows/push_nightly_docker_ghcr.yml,GHCR_PAT,secret
openai,azure-cli,.github/workflows/AddIssueComment.yml,dev,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddIssueComment.yml,CLI_BOT,secret
openai,azure-cli,.github/workflows/AddPRComment.yml,dev,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddPRComment.yml,CLI_BOT,secret
openai,codex,.github/workflows/issue-deduplicator.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/issue-deduplicator.yml,CODEX_OPENAI_API_KEY,secret
openai,codex,.github/workflows/issue-labeler.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/issue-labeler.yml,CODEX_OPENAI_API_KEY,secret
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,APPLE_CERTIFICATE_P12,secret
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,APPLE_CERTIFICATE_PASSWORD,secret
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,APPLE_NOTARIZATION_KEY_P8,secret
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,APPLE_NOTARIZATION_KEY_ID,secret
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,APPLE_NOTARIZATION_ISSUER_ID,secret
openai,compose-richtext,.github/workflows/publish.yml,main,https://github.com/openai/compose-richtext/blob/43f61c1abfc5341536f7e1adbf29286a640405f7/.github/workflows/publish.yml,GPG_PRIVATE_KEY,secret
openai,compose-richtext,.github/workflows/publish.yml,main,https://github.com/openai/compose-richtext/blob/43f61c1abfc5341536f7e1adbf29286a640405f7/.github/workflows/publish.yml,GPG_PRIVATE_PASSWORD,secret
openai,compose-richtext,.github/workflows/publish.yml,main,https://github.com/openai/compose-richtext/blob/43f61c1abfc5341536f7e1adbf29286a640405f7/.github/workflows/publish.yml,SONATYPE_PASSWORD,secret
